,Long Term Annual Means,Coordinates
0,22.533328540279822,POINT (-120.495 34.5861111111111)
1,23.339999978346746,POINT (-119.62 34.4511111111111)
2,17.34942855361423,POINT (-119.518055555556 34.3980555555556)
3,14.329824537083244,POINT (-120.45 34.6975)
4,16.832985055617876,POINT (-119.845277777778 34.4155555555556)
5,13.564852923518592,POINT (-120.448611111111 34.8822222222222)
6,10.848333090854188,POINT (-120.23 34.5075)
7,26.620714239664363,POINT (-120.177777777778 34.5338888888889)
8,15.59051277315578,POINT (-119.646944444444 34.7747222222222)
9,18.324673432786042,POINT (-119.703333333333 34.4252777777778)
10,28.852173912941428,POINT (-119.506944444444 34.4908333333333)
11,27.277558139534882,POINT (-119.565833333333 34.4577777777778)
12,26.21020200180134,POINT (-119.681944444444 34.5261111111111)
13,20.977169781711023,POINT (-119.730277777778 34.4541666666667)
14,19.755079348922248,POINT (-119.690555555556 34.4438888888889)
15,27.14117647040416,POINT (-119.676944444444 34.4711111111111)
16,18.10999998781677,POINT (-119.951666666667 34.4466666666667)
17,6.529028976155147,POINT (-119.668055555556 34.9825)
18,13.179999981858701,POINT (-119.895555555556 34.975)
19,15.68999998415656,POINT (-120.069166666667 34.6072222222222)
20,33.850188649150546,POINT (-119.823611111111 34.5119444444444)
21,23.1675,POINT (-119.8 34.5333333333333)
22,21.943333261973326,POINT (-119.883333333333 34.475)
23,17.194999926338593,POINT (-120.024722222222 34.4611111111111)
24,15.239285608546009,POINT (-120.229444444444 34.4725)
25,15.591504090909092,POINT (-119.9325 34.6672222222222)
26,22.175113201376863,POINT (-119.664444444444 34.6905555555556)
27,24.26818164357405,POINT (-119.908888888889 34.5208333333333)
28,16.30355401092987,POINT (-119.917222222222 34.9197222222222)
29,15.23999987399204,POINT (-119.462222222222 34.6375)
30,20.24957285714285,POINT (-120.193888888889 35.0769444444444)
31,20.502100193458187,POINT (-120.131111111111 34.4888888888889)
32,15.111884043157314,POINT (-120.293888888889 34.8666666666667)
33,34.83079241831149,POINT (-119.695555555556 34.4913888888889)
34,24.00348285489193,POINT (-119.507777777778 34.4427777777778)
35,26.341764674885738,POINT (-119.798333333333 34.4902777777778)
36,19.72771426559133,POINT (-119.491388888889 34.4019444444444)
37,13.318584895564136,POINT (-120.445555555556 34.9519444444444)
38,11.039787216080311,POINT (-120.600833333333 34.6905555555556)
39,17.834137868247712,POINT (-120.321111111111 34.9880555555556)
40,15.87454531647265,POINT (-120.340277777778 34.4677777777778)
41,12.41655554363711,POINT (-120.571388888889 34.9625)
42,15.616264126487215,POINT (-120.357777777778 34.8483333333333)
43,12.754848474792459,POINT (-119.556111111111 34.8208333333333)
44,17.248432821922776,POINT (-119.785555555556 34.4369444444444)
45,18.951428525591535,POINT (-119.581388888889 34.4152777777778)
46,18.364999965532594,POINT (-119.773611111111 34.4505555555556)
47,16.803076833824697,POINT (-120.2 35.0333333333333)
48,19.59259573145528,POINT (-119.640277777778 34.4294444444444)
49,21.023943641146932,POINT (-119.706944444444 34.4538888888889)
50,15.540190417469256,POINT (-120.500277777778 34.5116666666667)
51,13.471188106361296,POINT (-120.516944444444 34.9158333333333)
52,16.256296269639773,POINT (-119.688611111111 34.4052777777778)
53,13.554684193548384,POINT (-120.533055555556 34.82)
54,14.193333279825746,POINT (-120.430277777778 34.7702777777778)
55,18.387662318489188,POINT (-119.853611111111 34.4430555555556)
56,12.238846153846152,POINT (-120.475 34.45)
57,7.6496874889463635,POINT (-119.6825 34.9455555555556)
58,28.244773208800233,POINT (-120.092222222222 34.53)
59,15.488999980684902,POINT (-120.210555555556 34.84)
60,15.493870967741934,POINT (-120.416666666667 34.7333333333333)
61,16.51621621621622,POINT (-120.259722222222 34.7961111111111)
62,7.9486406134399585,POINT (-119.71 34.96)
63,12.595769230769232,POINT (-120.130277777778 34.9152777777778)
64,23.792404955211378,POINT (-120.343333333333 34.5291666666667)
65,23.586471283419872,POINT (-120.1303 34.91528)
66,15.245981296579416,POINT (-120.279722222222 34.7452777777778)
67,16.130525003299713,POINT (-120.226111111111 34.7372222222222)
68,15.992608639481274,POINT (-120.131666666667 34.6941666666667)
69,16.431874955617822,POINT (-120.088888888889 34.7272222222222)
70,21.33609997021052,POINT (-120.005555555556 34.5677777777778)
71,15.539090847847131,POINT (-119.996111111111 34.8247222222222)
72,24.47965517241379,POINT (-119.916666666667 34.55)
73,28.4175,POINT (-119.866666666667 34.5416666666667)
74,21.991777724913426,POINT (-120.130277777778 34.9152777777778)
75,18.257037014267237,POINT (-120.141111111111 34.5933333333333)
76,16.622968738900962,POINT (-120.196666666667 34.6133333333333)
77,10.188333131757878,POINT (-120.305833333333 34.6069444444444)
78,14.492848888895967,POINT (-120.454444444444 34.6377777777778)
79,17.48449273164721,POINT (-120.405 34.5833333333333)
