# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-01-31 12:12:32 EST       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07232500 Beaver River near Guymon, OK
# -----------------------------------------------------------------------------------
#
# Data provided for site 07232500
#            TS   parameter     statistic     Description
#        111434       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	111434_00060_00003	111434_00060_00003_cd
5s	15s	20d	14n	10s
USGS	07232500	1937-10-01	6.00	A
USGS	07232500	1937-10-02	6.00	A
USGS	07232500	1937-10-03	6.00	A
USGS	07232500	1937-10-04	6.00	A
USGS	07232500	1937-10-05	6.00	A
USGS	07232500	1937-10-06	6.00	A
USGS	07232500	1937-10-07	6.00	A
USGS	07232500	1937-10-08	6.00	A
USGS	07232500	1937-10-09	6.00	A
USGS	07232500	1937-10-10	6.00	A
USGS	07232500	1937-10-11	6.00	A
USGS	07232500	1937-10-12	6.00	A
USGS	07232500	1937-10-13	6.00	A
USGS	07232500	1937-10-14	6.00	A
USGS	07232500	1937-10-15	6.00	A
USGS	07232500	1937-10-16	6.00	A
USGS	07232500	1937-10-17	6.00	A
USGS	07232500	1937-10-18	6.00	A
USGS	07232500	1937-10-19	6.00	A
USGS	07232500	1937-10-20	6.00	A
USGS	07232500	1937-10-21	6.00	A
USGS	07232500	1937-10-22	6.00	A
USGS	07232500	1937-10-23	6.00	A
USGS	07232500	1937-10-24	6.00	A
USGS	07232500	1937-10-25	6.00	A
USGS	07232500	1937-10-26	6.00	A
USGS	07232500	1937-10-27	6.00	A
USGS	07232500	1937-10-28	6.00	A
USGS	07232500	1937-10-29	6.00	A
USGS	07232500	1937-10-30	6.00	A
