# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-01-31 19:53:42 EST       (nadww01)
#
# US Geological Survey groundwater levels
#
# Data for the following 1 site(s) are contained in this file
#    USGS 363033101440701 01N-12E-35 BDD 1        Texhoma GW Well 
# -----------------------------------------------------------------------------------
#
# The fields in this file include:
# ---------------------------------
# agency_cd     Agency code
# site_no       USGS site number
# site_tp_cd    Site type code
# lev_dt        Date level measured
# lev_tm        Time level measured
# lev_tz_cd     Time datum
# lev_va        Water-level value in feet below land surface
# sl_lev_va     Water-level value in feet above specific vertical datum
# sl_datum_cd   Referenced vertical datum
# lev_status_cd Status
# lev_agency_cd Measuring agency
# lev_dt_acy_cd Water-level date-time accuracy
# lev_acy_cd    Water-level accuracy
# lev_src_cd    Source of measurement
# lev_meth_cd   Method of measurement
# lev_age_cd    Water-level approval status
#
# Referenced agency codes (lev_agency_cd) included in this output:
#
#     ""         Not determined
#     USGS       U.S. Geological Survey
#
# Referenced site type codes (site_tp_cd) included in this output:
#
#     GW         Well
#
# Referenced water-level site status codes (lev_status_cd) included in this output:
#
#     ""         The reported water-level measurement represents a static level
#     P          Site was being pumped.
#     Z          Other conditions existed that would affect the measured water level (explain in remarks).
#
# Referenced water-level date-time accuracy codes (lev_dt_acy_cd) included in this output:
#
#     D          Date is accurate to the Day
#     m          Date is accurate to the Minute
#
# Referenced water-level accuracy codes (lev_acy_cd) included in this output:
#
#     ""         Not determined
#     2          Water level accuracy to nearest hundredth of a foot
#
# Referenced source of measurement codes (lev_src_cd) included in this output:
#
#     S          Measured by personnel of reporting agency.
#     U          Source is unknown.
#
# Referenced method of measurement codes (lev_meth_cd) included in this output:
#
#     B          Analog or graphic recorder.
#     S          Steel-tape measurement.
#     U           Unknown method.
#
# Referenced water-level approval-status codes (lev_age_cd) included in this output:
#
#     A          Approved for publication -- Processing and review completed.
#     P          Provisional data subject to revision.
#
agency_cd	site_no	site_tp_cd	lev_dt	lev_tm	lev_tz_cd	lev_va	sl_lev_va	sl_datum_cd	lev_status_cd	lev_agency_cd	lev_dt_acy_cd	lev_acy_cd	lev_src_cd	lev_meth_cd	lev_age_cd
5s	15s	6s	10d	5d	5s	12s	12s	10s	1s	5s	1s	1s	1s	1s	1s
USGS	363033101440701	GW	1956-07-26			188.95					D	2	U	S	A
USGS	363033101440701	GW	1956-08-05			189.03					D	2	U	B	A
USGS	363033101440701	GW	1956-08-10			189.03					D	2	U	B	A
USGS	363033101440701	GW	1956-08-15			189.02					D	2	U	B	A
USGS	363033101440701	GW	1956-08-20			189.09					D	2	U	B	A
USGS	363033101440701	GW	1956-08-25			189.00					D	2	U	B	A
USGS	363033101440701	GW	1956-08-29			188.94					D	2	U	B	A
USGS	363033101440701	GW	1956-09-03			188.99					D	2	U	B	A
USGS	363033101440701	GW	1956-09-10			189.00					D	2	U	B	A
USGS	363033101440701	GW	1956-09-15			188.99					D	2	U	B	A
USGS	363033101440701	GW	1956-09-20			189.06					D	2	U	B	A
USGS	363033101440701	GW	1956-10-05			189.10					D	2	U	B	A
USGS	363033101440701	GW	1956-10-10			189.09					D	2	U	B	A
USGS	363033101440701	GW	1956-10-15			189.11					D	2	U	B	A
USGS	363033101440701	GW	1956-10-20			189.16					D	2	U	B	A
USGS	363033101440701	GW	1956-10-25			189.13					D	2	U	B	A
USGS	363033101440701	GW	1956-10-31			189.08					D	2	U	B	A
USGS	363033101440701	GW	1956-11-05			189.06					D	2	U	B	A
USGS	363033101440701	GW	1956-11-10			189.03					D	2	U	B	A
USGS	363033101440701	GW	1956-11-15			189.25					D	2	U	B	A
USGS	363033101440701	GW	1956-11-20			189.18					D	2	U	B	A
USGS	363033101440701	GW	1956-11-25			189.12					D	2	U	B	A
USGS	363033101440701	GW	1956-11-30			189.02					D	2	U	B	A
USGS	363033101440701	GW	1956-12-05			188.96					D	2	U	S	A
USGS	363033101440701	GW	1956-12-10			189.08					D	2	U	B	A
USGS	363033101440701	GW	1956-12-15			189.17					D	2	U	B	A
USGS	363033101440701	GW	1956-12-20			189.10					D	2	U	B	A
USGS	363033101440701	GW	1956-12-25			189.20					D	2	U	B	A
USGS	363033101440701	GW	1956-12-31			188.99					D	2	U	B	A
USGS	363033101440701	GW	1957-01-05			189.03					D	2	U	B	A
USGS	363033101440701	GW	1957-01-20			188.87					D	2	U	B	A
USGS	363033101440701	GW	1957-01-25			189.16					D	2	U	B	A
USGS	363033101440701	GW	1957-01-31			189.08					D	2	U	B	A
USGS	363033101440701	GW	1957-02-05			189.14					D	2	U	B	A
USGS	363033101440701	GW	1957-02-10			189.19					D	2	U	B	A
USGS	363033101440701	GW	1957-02-15			189.15					D	2	U	B	A
USGS	363033101440701	GW	1957-02-20			189.02					D	2	U	B	A
USGS	363033101440701	GW	1957-02-25			188.96					D	2	U	B	A
USGS	363033101440701	GW	1957-03-05			189.06					D	2	U	B	A
USGS	363033101440701	GW	1957-03-10			188.82					D	2	U	B	A
USGS	363033101440701	GW	1957-03-15			189.27					D	2	U	B	A
USGS	363033101440701	GW	1957-03-20			189.03					D	2	U	B	A
USGS	363033101440701	GW	1957-03-25			189.20					D	2	U	B	A
USGS	363033101440701	GW	1957-03-31			188.95					D	2	U	B	A
USGS	363033101440701	GW	1957-04-05			189.13					D	2	U	B	A
USGS	363033101440701	GW	1957-04-10			188.99					D	2	U	B	A
USGS	363033101440701	GW	1957-04-15			188.86					D	2	U	B	A
USGS	363033101440701	GW	1957-04-20			189.10					D	2	U	B	A
USGS	363033101440701	GW	1957-04-25			189.11					D	2	U	B	A
